,Comments after removing emojis and stopwords,,CLASS
,,,
,Ami bangaladesh media k believe kori na,,Non abusive
,Bangladesh er police sob gulo jaroj,,Non abusive
,Pori holo bangladesher ak numbar noti.,,Non abusive
,name change kore esechis bhai valo ..,,Non abusive
,Etai toh bujhle na dada etai toh PK er hindu card chilo .etai toh 5% vote.,,Non abusive
,Thik,,Non abusive
,Joy bagla . Nejar mayake chi.,,Non abusive
,Oti odhunikota somaj ta sesh korey debe..bia hoyni edike reception party hoachilo keno..,,Non abusive
,Khub uccho maner sangskriti...bangar sangskriti je koto sundor hochhe ta eder dekhe bojha jai,,Non abusive
,Ara naki aamader neta!,,Non abusive
,Parliament e sindoor pore ki korchilen uni,,Non abusive
,Eder ke tarai super star banay jara eder motoni,,Non abusive
,Esab ki natok chlche madam,,Non abusive
,Ki hocche bojha mushkil.....,,Non abusive
,Bhalo khela hochhe!!,,Non abusive
,E shob khobor jene manusher ba society r ki labh hoche?,,Non abusive
,Ata amader hindu sonaton dhormer samajik biyer  abomanona apoman,,Non abusive
,Conversion koranor dhanday chhilo... Pareni chheredilo...,,Non abusive
,Eder movie dakha akebare bondho kore dite hobe taholei thik hobe,,Non abusive
,"Faltu news na korai valo , faltu subject",,Non abusive
,Didi mukhe mask lagao.. Situatiion bhalo noii...,,Non abusive
,EAI NEKAMI ER MANE KI ?,,Non abusive
,Bharatiya law follow karte habe,,Non abusive
,Ader k bangla channel k banate boleche?,,Non abusive
,Sudhu  kora kori chara kono kaj kore na,,Non abusive
,Mohila bolte parto suting hoche.kto mittha kotha bolbe.mitthar rajjai bas kori.,,Non abusive
,Abar akbar intervew ta bolachilo manus jano tar kag dakha tak bichar kora parsonal life a sa kamon sata tar bapar,,Non abusive
, Etai ki Khela amader sanskritir sathe,,Non abusive
, Attar kono bapper naaaaaaaa,,Non abusive
, Ara abar bole Dillhi cholo.......vaipo aj kichu bolbe na.......,,Non abusive
," Apnader ki problem? Biye korche, ki live in e thake?",,Non abusive
, Valo na,,Non abusive
, Etai ki desher khbar....sottie egula e ki manush shunte chay.... ,,Non abusive
,Esb nia alochona pore korben..age college er exam gulo nia kichu vabum,,Non abusive
,Jara comment korche tara somik er baypar e antata Kichu comment korun !,,Non abusive
,Khela Hobe prokolpo er moto biye Hobe prokolpo chalu hok,,Non abusive
,Sab khetre didi ke tanata ki khub jaruri,,Non abusive
,Personal life niye tomar joto matha betha,,Non abusive
,normal manush er somashay gaar marak.....eder k niye pore thakun aapnara,,Non abusive
,Sir thiki bolechhen. Atake biye na blle ki blbe....,,Non abusive
,Ei to dadu eto din a thik kotha bolechen,,Non abusive
,Era manusher upokar korbe na griho rin sodh korbe,,Non abusive
,Bhai ai sob bhable chintao lage...,,Non abusive
,Sadhasidha akta chele ..... fese gelo,,Non abusive
,Ai sob jene manush er ki hobe,,Non abusive
,E kotha phele debar noi।।।,,Non abusive
,Karo parsonal life niye kno rajniti,,Non abusive
,Khela hoche,,Non abusive
,Kaj nei toder,,Non abusive
,Sera bolechen,,Non abusive
,Thik bolechen,,Non abusive
,Eta thik bolechen,,Non abusive
,Thik hoeche,,Non abusive
,Tata apnar ki,,Non abusive
,Puro industry Badnaam...,,Non abusive
,Seta tar nijer parsonal matter,,Non abusive
,Band kora uchit,,Non abusive
,Cheleta beche gache...,,Non abusive
,Akdom thik,,Non abusive
,thik bolechen . Apnar protakta kothar  jukti  ache.,,Non abusive
,Ekdam thìk tomar katha,,Non abusive
,Didi apner tulona hai na,,Non abusive
,Tui ki koto bhalo,,Non abusive
,Apni to paren ni,,Non abusive
,Mask pora uchit chhilo,,Non abusive
,Na didi,,Non abusive
,Aapni  ki  bolun,,Non abusive
,Apni ki neta hote parechen?,,Non abusive
,"Chandidas er padabalir kotha mone galpo "" .... ek Morane dujan more ......"".",,Non abusive
,ekebare thik korchhen.,,Non abusive
,Atuku bola jetei pare rajneeti te. Er jnno court case hassokor.,,Non abusive
,Sadhasidha akta chele ..... fese gelo,,Non abusive
,Ekdom,,Non abusive
,Akdhom thik bolasan,,Non abusive
,Ajkal amdr aisb news dkhte hche,,Non abusive
,Ai dosh amra korle jele jete hoto----- ara bro lok ader kichu hbe na,,Non abusive
,Apnader kaj nei naki r kono news khuje pan na,,Non abusive
,Ata ki news,,Non abusive
,"Paket mar er dosh hoyna, dosh tar je pokete taka rakhe. 10 bchhare etai shikhlam.",,Non abusive
,Debangsu r moton Amar sathe ekta chele Porto amar school e.,,Non abusive
,Mukho Matir Doctor Upadhi  Kotha theke Asecha,,Non abusive
,Sastho montri ki day arate pare?,,Non abusive
,Sunun dada ato dami khotha sadharon manus cyna,,Non abusive
,Na ekdom e noi,,Non abusive
,ABHINOY.SAB JANE.,,Non abusive
,Bah khobor surur age suspence story bah,,Non abusive
,Ke ke euro cup dekhche,,Non abusive
,"Porikha diya neta Montri howa uchit. Ato kosto kore real IAS,IPS ra porikhai pass kore, ",,Non abusive
,Ato choto chela,,Non abusive
,Kichui ar bolar nei.......,,Non abusive
,Ei sab meyeder khabar keno? Aalfaal khabar. Aamra eidharaner khabare sangprikto noi.,,Non abusive
,Or opore fotoya jaari hoyni to?,,Non abusive
,Valoi Cholche,,Non abusive
,Kono mohila k niye eisob khabor na korlei ki noi????,,Non abusive
,Apnader Khabar er Quality din ke din Low category hoye jachhe.,,Non abusive
,Ei sob khobor e Kar ki Elo gelo....,,Non abusive
,Ei niye 3 mas natok cholbe,,Non abusive
,TAKHA  DILE  APNI  O  PABEN. TENTION  KARE  LAV  NEI. LAGBE  KINA  BALUN.,,Non abusive
,Sabe thaka suru,,Non abusive
,Bar bar eki katha,,Non abusive
,Eder khobor kno dekhan .,,Non abusive
,Oma aki kando,,Non abusive
,Ami bujhi na actor actress der life ki erokom e hoy....,,Non abusive
,,,Non abusive
,"Arai nijeder smart,educated,modern,dignified person mone kore.....",,Non abusive
,Property jono Biye kore chilo.,,Non abusive
,Khelata valoi hocheee!!!,,Non abusive
,Dada apnar por ami waiting list achi ekbar sujog kore diben.,,Non abusive
,Agun r mom jakhan ek sathey hoy takhan ja hoy setai,,Non abusive
,Ar kono khabor nei? Jato faltu khabar.,,Non abusive
,Ke obasta,,Non abusive
,Jai e hoye thakuk ekhon 2jon jno valo thake sukhe thake etai chai,,Non abusive
,tahole ato ghota korar ki dorkar chilo,,Non abusive
,Ei merechhe onno loke utheche,,Non abusive
,Akta valo manush ke thokano holo,,Non abusive
,Marwarir songe Muslim samprodai er ei prothom daklam,,Non abusive
,Chele khala korcho...??,,Non abusive
,Amader ki kaj nei,,Non abusive
,Faltu,,Non abusive
,Ara keno j  biye kare bujhina,,Non abusive
,Are koto natok dakba manush,,Non abusive
,Jamon kormo tamon fol,,Non abusive
,Faltu khabar.,,Non abusive
,Chuch hoe dhukbo aar phal hoe berobo,,Non abusive
,Apnader r kon kaj nai aktu hole ar ektu bariye bolen,,Non abusive
,Amr ektu o nojor kareni,,Non abusive
,Jake valo lage tar kachei thako.,,Non abusive
,Valobasa na chhai,,Non abusive
,Bhallage na . . Bad din . .,,Non abusive
,Esob kono kotha naki palthu,,Non abusive
,Akdom bhalo lage na.,,Non abusive
,valo lage na,,Non abusive
,Ai na hole sinema hoy,,Non abusive
,"Saktisali mane asbhyata nay,shikhanio secchacarita  sabai chay",,Non abusive
,Amer balo laglo na,,Non abusive
,Ato ta discussion korte valo lage akta manush ke niye ??,,Non abusive
,Ami korbo,,Non abusive
,Kauke niye eto somalochona kore kore j ki pao tomra ...dite hole positivity daao,,Non abusive
,Kothay bollo nayika apni bolchen bekar jotto faltoo apnara,,Non abusive
,Jodi manusk kichu janate hoi to poriskar kore bolun ato guriye pichie bolar ki ache,,Non abusive
,Ovineta ovinetri oder video diye ki hobe..sobai eto oder niye basto keno..Islamic video banate paren na..islam prochar korle apnaroto valo hoto,,Non abusive
,Apni akdom sothik ami mona korchi karur kothai kan daben na. loker kaj y ninda kora atai oder kaj.,,Non abusive
,Ei sob ki nongra khela hochhe???,,Non abusive
,Ai faltu khobor pl korben na dada.,,Non abusive
,Bhai jan eder khobor gulo dekthe valo lage na..,,Non abusive
,Asale amra ei byapare interested noi,,Non abusive
,Sir Please Faltu Bapar niya News korben na.,,Non abusive
,Eta kono cinemar clips noyto? Nahole abar sediner moto khela hobe videor moto kesh hobe nato? Ami chaina oi rokom kesh hok,,Non abusive
,din diye vag karun.....khub sahaj hisab,,Non abusive
,Khela hoyni tahole ??,,Non abusive
,Baze Bishy niye chorcha nakora- I valo .,,Non abusive
,Sindur thouya hole biye hoye jay.,,Non abusive
,A e sab manus der nia khabor kore nijer standard  ta daya kore namaben  na,,Non abusive
,"kichu poisa jhere dawar chesta ar ki bujete baki ache,erom oneke ee ache",,Non abusive
,Samporkor name bodnam,,Non abusive
,Hasi pachhe,,Non abusive
,Apnar collection o uposthapon asadharan,,Non abusive
,Darun dada Darun,,Non abusive
,Thik bolechen Dada eta biye biye khela chilo,,Non abusive
,Ader kotha bhable matha karap hoye jabe.,,Non abusive
,Kesto da tumi kichu bolo.,,Non abusive
,"Banglar gorbo,",,Non abusive
,ki ar bolbo dada mukhe kichu asche na,,Non abusive
,But apni kotha gulo thik bolchen..,,Non abusive
,Nusrat ar boisaki 2 joni aki hoya galo dakchi,,Non abusive
,Osadharon analysis.,,Non abusive
,Oto mollar meye thik koreche,,Non abusive
,A bapare kichu na balai valo!!!,,Non abusive
,Sob natok,,Non abusive
,Eta khela chilo,,Non abusive
,Jara vote diyeche tader iktu dekhte iccha korche,,Non abusive
,Koto rango dekhi duniya ei,,Non abusive
,era manushke  khoob  boka bhabe,,Non abusive
,Etao akta flim.,,Non abusive
,Khela hobe voyonkor khela hobe,,Non abusive
,Ki coments  korbo lajjar bisay,,Non abusive
,Public  der ke besh boka banachche,,Non abusive
,Karor personal baper a kotha na bolai valo,,Non abusive
,Dada manush keio nei r bolte parchi nae,,Non abusive
,Asob chotokhao natoki jodi na korte pare tahole kiser avinetri,,Non abusive
,ami jene sune bis korechhi pan.....chhole bole kousole nipiler onek malkori hatiye niye chole gelo moyna,,Non abusive
,Jotto sab nekamo,,Non abusive
,Dada Tumi sotti paro.,,Non abusive
,Ara arakom charitter  !!,,Non abusive
,Jtosob ajebaje news,,Non abusive
,A khabor ta khub jaruri akhon??,,Non abusive
,Dur ar kunu kaj nai manush re neya,,Non abusive
,Akta meya ka niya sobai a vabe bole keno.tar problem thaktai pare.,,Non abusive
,"Meyera korlei dosh, r chelera korle kichu na.",,Non abusive
,Or kopala shuk ni,,Non abusive
,Apnara ei sob chere valo khobor din,,Non abusive
,Amader deshe habe sei chhele kobe kothay na boro kaj e boro habe!,,Non abusive
,R koto natok dekhbo,,Non abusive
,Vaijan tahole ki vul boleselo,,Non abusive
,Taka beshi hoye chilo...taii kharoch kore chilo...eii sob meye eii rakom korbe..,,Non abusive
,J mohila bolchen guchiye bangla o bolte janen na,,Non abusive
,Ohongkar beshi...,,Non abusive
,Er kopale o dukhho ache,,Non abusive
,Issh ki sundor guchiye guchiye asol sotti ta erie jacche,,Non abusive
,Dada tumi khub valo.. Emon kharap kaj korte parona tumi,,Non abusive
,Takai holo sob,,Non abusive
,biye abaidhya bole nijeke choto korche.,,Non abusive
,Sob faltu kotha agulo,,Non abusive
,Tui ja story banachhis khub taratari novel pabi...,,Non abusive
,Niger sartha sabai amon balen sartho guchia nao hoe gacha abar aisob to bolbei jonogon vote diachan tara vabun,,Non abusive
,"Era Avinetri,,sab avinay",,Non abusive
,Comments Porte eschhilam,,Non abusive
,Prithibir kotha besi na vebe.....porokaler kotha vabo.karon sekhane amader chirokal thake hobe.,,Non abusive
,Allah je toke ki korbe ke jane,,Non abusive
,Tomader dujon k dekhe khub bhalo lage Sara jibon pase theko ake oporer,,Non abusive
,Ai sob ki,,Non abusive
,Ki sundhor news aha,,Non abusive
,Ki lekhbo Vasa khuje passina,,Non abusive
,Ata tik na amer to bissas hosse na,,Non abusive
,"Joto dhoroner sob nonrami,dekle o gaa ghin ghin kore",,Non abusive
,olpo panir mas besi panite porle ja hoy....,,Non abusive
,Apnader mukhe suna kotha bissas korte parlam na. Jader nam niye bolchen tader mukhe sunte chai. Apnar mukhe noi.,,Non abusive
,Ai je apu  manush er name gujob na chorale apnader ghum hoy na naki,,Non abusive
,Sotti jotosob mithe khobor.......,,Non abusive
,Mithe news den kno jta janen na seta bolen,,Non abusive
,Ei samasta nogrami bandha hoke,,Non abusive
,Toder kane kane boleche naki,,Non abusive
,Ami khub khub khusi sune,,Non abusive
,Eshob jene ki hobe  joto  baje byapar,,Non abusive
,Eta to dekhchi ritimoto thysis paper.  Hahaha.. research korar aar kono topic nei?,,Non abusive
,Eder dekha bondho koro,,Non abusive
,Agulo just natok,,Non abusive
,Jemon baba temon meye,,Non abusive
,Thik hoyache kina bolo,,Non abusive
,Thik e korce.,,Non abusive
,Ata sotti hola khub vlo hoy,,Non abusive
,Eta ki dhoroner nekamo josrot,,Non abusive
,Torai sob janis,,Non abusive
,thik hoya jak sob somporko,,Non abusive
,Kire vaai mrinmoy tui kothaay biyete ?????,,Non abusive
,Dada tumi kobe biye korcho..??,,Non abusive
,agulo sotti ki na sondaho hoy,,Non abusive
,"Apnara video kren na yarki maren,kono kaj nei?vulval khobor bolen",,Non abusive
,Apnar information e ato vul Kno?????,,Non abusive
,Ata ke re vai ........atto Mitha kemne bole,,Non abusive
,Ete onek bhul information ache,,Non abusive
,"Apnara video kren na yarki maren,kono kaj nei?vulval khobor bolen",,Non abusive
,Amader o ektu sujog dewa ucit,,Non abusive
,Khub e joghonyo uchharon,,Non abusive
,ar kono kaaj paoneee aisob video banacho,,Non abusive
,Abar tahole ara century korbe r kichudin por,,Non abusive
,Personal bepar oder jotho sob rubbish alochona.,,Non abusive
,Lol k anando dite  nejer Anando bisorjon,,Non abusive
,Tomer age koto,,Non abusive
,Amar besh bhalo legeche,,Non abusive
,Khub baja bepar,,Non abusive
,Ata kora ta ader ochit noy,,Non abusive
,ekdam faltu video,,Non abusive
,Sob dosh meyeder e taina cheleder dosh nai bah valo,,Non abusive
,KHUB  BHALO KAJJ,,Non abusive
,"Bolte din bhai, eto boken keno?",,Non abusive
,are apni to boltei den na,,Non abusive
,Din ke din amader samaj e bikrito ruchir manuse vore jache.,,Non abusive
,Eigulo boddo nogrami,,Non abusive
,Bondhu bole property lute nilo,,Non abusive
,Ai alochona  chara ki abp anandor ar ki kono kaj nai ar theke samajer nirbod pranir onek bod ache6,,Non abusive
,Agulo chara ki r kno khbr nai apnader,,Non abusive
,Nongrami r akta sesh thaka darkar,,Non abusive
,Egulo kono khobor holo???kono kaj na thakle eisob khobor reporter kore,,Non abusive
,Jatakhon somajer chor na porbe tatokhon manusher sambit fere na.,,Non abusive
,Eara ki arombo koreche,,Non abusive
,Kub kharap kaj,,Non abusive
,Nijer chhele meyer kothao bhablona,,Non abusive
,Ake ke pochando korechilore,,Non abusive
,Agula sob mittha,,Non abusive
,E to mittha bolen keno?,,Non abusive
,,,Non abusive
,Ei dhoroner heading gulo kivabe den apnara,,Non abusive
,Chihhh chihhhhh....eto nongra caption....osustho manosikta...ghrinar ojogoy...jini eta likhechen tar nongra manosikotake dhikkar janachhi,,Non abusive
,Mitha prochar korben na please,,Non abusive
,Apni baba meyer somporko asole ki janen,,Non abusive
,Joto sob baje kotha,,Non abusive
,"Sala kothay jabo,golay dori dabo na ki? Sasa ki na kanchon!",,Non abusive
,Apni ki microphone use koren.,,Non abusive
,"Ai al bal khobor diben na,",,Non abusive
,Amra Srota Rao  miss Kori...,,Non abusive
,Eta kono news holo,,Non abusive
,Ader kono kaj nei,,Non abusive
,Asob news media ta jaiga pai kivabe?,,Non abusive
,Eder jonno egulo samanno bapar....Joghonno..,,Non abusive
,amar moton ke ke comments porte asche??,,Non abusive
,Ase kothar Theke egula Indian hoye se turkis Style e biye kore dhong e baci na,,Non abusive
,Keu janena apni janen?,,Non abusive
,Vaiya ami o bengladeshe theke bolce apnar video gula mon balo kore dey,,Non abusive
,Tomar expression ta khub e darun chilo,,Non abusive
,Dada tumi tushar dar sathe thako na ??,,Non abusive
,Tik tok bondho Kore deoa hok..khub Khushi hobo..,,Non abusive
,Dada tmr ei video gulo na amr khub khub valo lage,,Non abusive
,Kub hasi pay dada video gulo dakhe,,Non abusive
,Bhaiya tumar kotha gula khoub sundor thik kotha bolco tumi,,Non abusive
,Dada Tomar Bari kothai,,Non abusive
,Dada Bangladesh theke bolci onek valo hoice video ta,,Non abusive
,Sotti dada asadharon koracho Amio bangladasi,,Non abusive
,Vai sundor hoise..ami o Bangladesh thek bolsi,,Non abusive
,Kub valo dada,,Non abusive
,Dada Aro video...chai...bangladesh....ai sob tik toker der niye.,,Non abusive
,Amra ready dada,,Non abusive
,Darun amar khub valo laglo,,Non abusive
,Dada kemon acho plz reply to daw,,Non abusive
,Thik vai amader dese tiktok Bondo korle khusi hobo,,Non abusive
,"Eto dhong kore keno, meyerao Eto dhong kore na?? ",,Non abusive
,Eibar toh tik tok bondho hoye gelo. Eibar ora khabe ki kore?,,Non abusive
,ami khechi tumi dekho etai best bro.. Solid collection .,,Non abusive
,Sotti ara kothay chilo ato din ajob prani,,Non abusive
,"Dada, eta sera diyechho. Evabei egiye jao. Chaliye jao",,Non abusive
,Khub valo dada,,Non abusive
,Goribder opoman korle dekhbe nije na bhikhari hoye jao,,Non abusive
,Tumio khub sundor dekte go,,Non abusive
,Akdom thik bolacho dada,,Non abusive
,Akdom thik bolecho vaiya,,Non abusive
,Thik kotha bolechen dada,,Non abusive
,"Darun hoyeche video, ",,Non abusive
,onek valo laglo.ora to shasti pelo.,,Non abusive
,"Bangladesh theke bolsi,,,vlobasa nio",,Non abusive
,Dada ei lockdown er online classes niye kono video banao..,,Non abusive
,Etah shotti ektu standard er niche... expectations were much higher...,,Non abusive
,Awesome go Dada ami tmr sthe live e aste chai ki kore ashbo?,,Non abusive
,Haste haste Moore gelam re! Darun dada.,,Non abusive
,"Eta tomar best vdo, r bengali mom just superb",,Non abusive
,Dada bangladesh theke bolchi..dada akta humble request  chilo episode 2 chay,,Non abusive
,Legends ra ai 2020 ta ei video ta dekchaa,,Non abusive
,Dada aaro episode chai,,Non abusive
,"Ami Dhaka theke bro,bolshilam bro apniki gan    koren  amader sunanna plyz",,Non abusive
,Kaahon BISSHAS KORUN just comment gulo pore dekhte bosechi . ,,Non abusive
,ki je sundar muhurta gulo,,Non abusive
,Asadharon avinay,,Non abusive
,Apnarai to valo janar kotha,,Non abusive
,Ora valo na,,Non abusive
,Upojokto shasti chai,,Non abusive
,Valo koreche,,Non abusive
,Ayni bebostar unnoti chai,,Non abusive
,Ekdom thik kotha,,Non abusive
,Faul kotha jotosob,,Non abusive
,Akdom thik kotha bolsen,,Non abusive
,Thik gunijoner moto kotha bolechen.,,Non abusive
,"uposthapok over smart, osojjo laglo",,Non abusive
,porrichalok vhalo manush,,Non abusive
,Prosno gulo kora thik hoyni,,Non abusive
,kotha gulo sotti,,Non abusive
,Akbar e sotti kotha,,Non abusive
,Akhon ki obostha...,,Non abusive
,Shotto kounta bolar ebong shunar mon manushikota achey ki amader?,,Non abusive
,Glas ke vanglo vai eta to dekha gelona,,Non abusive
,"Faltu sob news,,, ekjon victim k sahajjo na kore take aro fashiye deya hocche",,Non abusive
,"Yes,khub sundar alochona.",,Non abusive
,Obossoi se lukacche kichu kemon khapchara Kotha.. Ovinoi lagche...barbar chole jete chacche...,,Non abusive
,Shob e bujhlam but night club e jawar ki dorkar,,Non abusive
,Shob mittha...,,Non abusive
,Sothik bichar hok,,Non abusive
,Ovinoy  to valo e shikhse,,Non abusive
,"Era sotti kotha ta bolchhe na, onno kono rohosso achhhe",,Non abusive
,Etakei bole yellow journalism,,Non abusive